cis_subsection,severity,type,name,target
1.1.1.1,high,checkKernalModule,Ensure cramfs kernel module is not available,cramfs
1.1.1.2,high,checkKernalModule,Ensure freevxfs kernel module is not available,freevxfs
1.1.1.3,high,checkKernalModule,Ensure hfs kernel module is not available,hfs
1.1.1.4,high,checkKernalModule,Ensure hfsplus kernel module is not available,hfsplus
1.1.1.5,high,checkKernalModule,Ensure jffs2 kernel module is not available,jffs2
1.1.1.6,high,checkKernalModule,Ensure squashfs kernel module is not available,squashfs
1.1.1.7,high,checkKernalModule,Ensure udf kernel module is not available,udf
1.1.1.8,high,checkKernalModule,Ensure usb-storage kernel module is not available,usb_storage
1.1.1.9,manual,checkKernalModule,Ensure unused filesystems kernel modules are not available,"cramfs,freevxfs,jffs2,hfs,hfsplus,squashfs"
